202518,洋白菜,批发价,全国平均,元/公斤,1.83
202518,平菇,批发价,全国平均,元/公斤,7.10
202518,黄瓜,批发价,全国平均,元/公斤,3.61
202518,菠菜,批发价,全国平均,元/公斤,4.31
202518,南瓜,批发价,全国平均,元/公斤,4.10
202518,芹菜,批发价,全国平均,元/公斤,2.66
202518,豆角,批发价,全国平均,元/公斤,8.04
202518,大蒜,批发价,全国平均,元/公斤,10.51
202518,胡萝卜,批发价,全国平均,元/公斤,3.22
202518,生姜,批发价,全国平均,元/公斤,9.57
202518,大白菜,批发价,全国平均,元/公斤,1.46
202518,西红柿,批发价,全国平均,元/公斤,4.62
202518,青椒,批发价,全国平均,元/公斤,4.78
202518,油菜,批发价,全国平均,元/公斤,2.97
202518,冬瓜,批发价,全国平均,元/公斤,2.85
202518,韭菜,批发价,全国平均,元/公斤,4.06
202518,西葫芦,批发价,全国平均,元/公斤,2.62
202518,莴笋,批发价,全国平均,元/公斤,2.59
202518,土豆,批发价,全国平均,元/公斤,2.53
202518,菜花,批发价,全国平均,元/公斤,3.19
202518,蒜苔,批发价,全国平均,元/公斤,6.25
202518,大葱,批发价,全国平均,元/公斤,3.11
202518,白萝卜,批发价,全国平均,元/公斤,1.66
202518,葱头,批发价,全国平均,元/公斤,2.64
202518,生菜,批发价,全国平均,元/公斤,3.99
202518,莲藕,批发价,全国平均,元/公斤,6.30
202518,香菇,批发价,全国平均,元/公斤,11.54
202517,葱头,批发价,全国平均,元/公斤,2.67
202517,香菇,批发价,全国平均,元/公斤,11.49
202517,冬瓜,批发价,全国平均,元/公斤,2.86
202517,油菜,批发价,全国平均,元/公斤,3.01
202517,菜花,批发价,全国平均,元/公斤,3.31
202517,西葫芦,批发价,全国平均,元/公斤,2.66
202517,大白菜,批发价,全国平均,元/公斤,1.48
202517,生姜,批发价,全国平均,元/公斤,9.60
202517,黄瓜,批发价,全国平均,元/公斤,3.67
202517,平菇,批发价,全国平均,元/公斤,6.81
202517,生菜,批发价,全国平均,元/公斤,4.16
202517,西红柿,批发价,全国平均,元/公斤,4.69
202517,芹菜,批发价,全国平均,元/公斤,2.68
202517,洋白菜,批发价,全国平均,元/公斤,1.88
202517,白萝卜,批发价,全国平均,元/公斤,1.68
202517,青椒,批发价,全国平均,元/公斤,5
202517,豆角,批发价,全国平均,元/公斤,8.30
202517,土豆,批发价,全国平均,元/公斤,2.56
202517,莴笋,批发价,全国平均,元/公斤,2.66
202517,莲藕,批发价,全国平均,元/公斤,6.20
202517,韭菜,批发价,全国平均,元/公斤,4.23
202517,菠菜,批发价,全国平均,元/公斤,4.30
